character1,character2,lyric,song,act
HAMILTON,LAFAYETTE,Tomorrow there'll be more of us,The Story of Tonight,1
LAURENS,MULLIGAN,Tomorrow there'll be more of us,The Story of Tonight,1
LAURENS,LAFAYETTE,Tomorrow there'll be more of us,The Story of Tonight,1
MULLIGAN,LAFAYETTE,Tomorrow there'll be more of us,The Story of Tonight,1
HAMILTON,LAURENS,Telling the story of tonight,The Story of Tonight,1
MULLIGAN,LAFAYETTE,Let's have another round tonight,The Story of Tonight,1
HAMILTON,LAURENS,They'll tell the story of tonight,The Story of Tonight,1
HAMILTON,LAURENS,They'll tell the story of tonight,The Story of Tonight,1
HAMILTON,LAURENS,They'll tell the story of tonight,The Story of Tonight,1
MULLIGAN,LAFAYETTE,Raise a glass to freedom,The Story of Tonight,1
MULLIGAN,LAFAYETTE,Raise a glass to freedom,The Story of Tonight,1
MULLIGAN,LAFAYETTE,They'll tell the story of-,The Story of Tonight,1
ELIZA,PEGGY,New York,The Schuyler Sisters,1
ANGELICA,ELIZA,Work!,The Schuyler Sisters,1
ANGELICA,PEGGY,Work!,The Schuyler Sisters,1
ELIZA,PEGGY,Work!,The Schuyler Sisters,1
ELIZA,ANGELICA,Whooaaaaa!,The Schuyler Sisters,1
ELIZA,PEGGY,Whooaaaaa!,The Schuyler Sisters,1
ANGELICA,PEGGY,Whooaaaaa!,The Schuyler Sisters,1
ELIZA,ANGELICA,"""Work!","""",The Schuyler Sisters,1
ELIZA,PEGGY,"""Work!","""",The Schuyler Sisters,1
ANGELICA,PEGGY,"""Work!","""",The Schuyler Sisters,1
ELIZA,ANGELICA,"""""""We hold these truths to be self-evident""",The Schuyler Sisters,1
ELIZA,PEGGY,"""""""We hold these truths to be self-evident""",The Schuyler Sisters,1
ANGELICA,PEGGY,"""""""We hold these truths to be self-evident""",The Schuyler Sisters,1
ELIZA,ANGELICA,"""That all men are created equal""""""",The Schuyler Sisters,1
ELIZA,PEGGY,"""That all men are created equal""""""",The Schuyler Sisters,1
ANGELICA,PEGGY,"""That all men are created equal""""""",The Schuyler Sisters,1
ELIZA,PEGGY,"Look around, look around at how",The Schuyler Sisters,1
ELIZA,PEGGY,Lucky we are to be alive right now!,The Schuyler Sisters,1
ELIZA,ANGELICA,History is happening in Manhattan and we just happen to be,The Schuyler Sisters,1
ELIZA,PEGGY,History is happening in Manhattan and we just happen to be,The Schuyler Sisters,1
